"UID","Sports"
2969,"club.401"
2977,"club.129"
2988,"club.109"
2990,"club.111"
2993,"club.222"
3007,"club.132"
3012,"club.206"
3016,"club.125"
3018,"club.107"
3019,"club.109"
3022,"club.127"
3067,"club.123"
3082,"club.257"
3112,"club.125"
3145,"club.403"
3148,"club.229"
3171,"club.204"
3180,"club.604"
3258,"club.105"
3266,"club.111"
3274,"club.222"
3327,"club.111"
3334,"club.242"
3385,"club.404"
3447,"club.410"
3455,"club.117"
3487,"club.125"
3489,"club.115"
3494,"club.101"
3501,"club.109"
3521,"club.101"
3543,"club.242"
3544,"club.405"
3572,"club.242"
3583,"club.119"
3588,"club.258"
3589,"club.123"
3596,"club.410"
3634,"club.420"
3638,"club.242"
3676,"club.123"
3678,"club.420"
3680,"club.242"
3692,"club.229"
3719,"club.420"
3725,"club.229"
3728,"club.111"
3734,"club.242"
3741,"club.242"
3754,"club.103"
3758,"club.420"
3776,"club.410"
3796,"club.125"
3831,"club.222"
3859,"club.410"
3860,"club.113"
3873,"club.242"
3927,"club.501"
3930,"club.117"
3943,"club.128"
3948,"club.413"
3950,"club.103"
3953,"club.111"
3964,"club.402"
3978,"club.121"
3981,"club.232"
3987,"club.410"
3997,"club.501"
4001,"club.232"
4040,"club.601"
4064,"club.111"
4065,"club.125"
4078,"club.132"
4139,"club.604"
4144,"club.229"
4173,"club.115"
4184,"club.119"
4201,"club.242"
4206,"club.123"
4208,"club.604"
4211,"club.229"
4266,"club.121"
4287,"club.604"
4294,"club.101"
4295,"club.133"
4302,"club.111"
4314,"club.125"
4322,"club.123"
4334,"club.407"
4336,"club.218"
4339,"club.410"
4343,"club.121"
4344,"club.105"
4361,"club.114"
4376,"club.115"
4398,"club.105"
4403,"club.115"
4411,"club.111"
4430,"club.229"
4454,"club.111"
4457,"club.110"
4476,"club.221"
4505,"club.402"
4526,"club.601"
4528,"club.221"
4534,"club.128"
4539,"club.404"
4544,"club.229"
4554,"club.111"
4578,"club.604"
4582,"club.117"
4583,"club.242"
4584,"club.124"
4586,"club.125"
4603,"club.103"
4619,"club.111"
4651,"club.402"
4667,"club.401"
4687,"club.123"
4690,"club.108"
4702,"club.243"
4713,"club.119"
4715,"club.109"
4733,"club.117"
4739,"club.245"
4745,"club.108"
4747,"club.126"
4748,"club.111"
4752,"club.125"
4756,"club.111"
4757,"club.420"
4779,"club.109"
4829,"club.105"
4853,"club.211"
4872,"club.105"
4878,"club.603"
4921,"club.402"
4924,"club.105"
4955,"club.245"
4960,"club.205"
4972,"club.133"
4975,"club.103"
5000,"club.403"
5012,"club.232"
5033,"club.242"
5073,"club.233"
5097,"club.119"
5102,"club.242"
5107,"club.101"
5115,"club.403"
5122,"club.604"
5131,"club.123"
5138,"club.604"
5182,"club.109"
5193,"club.101"
5199,"club.109"
5219,"club.111"
5247,"club.111"
5254,"club.111"
5258,"club.109"
5260,"club.604"
5266,"club.126"
5268,"club.403"
5296,"club.106"
5340,"club.403"
5351,"club.408"
5357,"club.111"
5398,"club.111"
5399,"club.117"
5403,"club.125"
5421,"club.105"
5433,"club.213"
5439,"club.111"
5440,"club.111"
5444,"club.113"
5447,"club.119"
5485,"club.604"
5490,"club.109"
5494,"club.119"
5496,"club.111"
5499,"club.133"
5515,"club.111"
5529,"club.133"
5530,"club.229"
5536,"club.117"
5549,"club.111"
5554,"club.132"
5560,"club.133"
5567,"club.604"
5595,"club.111"
5599,"club.133"
5601,"club.258"
5611,"club.210"
5623,"club.115"
5625,"club.128"
5644,"club.111"
5667,"club.242"
5668,"club.246"
5684,"club.111"
5715,"club.111"
5736,"club.111"
5740,"club.604"
5745,"club.406"
5754,"club.119"
5760,"club.222"
5776,"club.115"
5794,"club.402"
5806,"club.109"
5831,"club.125"
5846,"club.111"
5866,"club.111"
5886,"club.218"
5891,"club.111"
5892,"club.233"
5909,"club.125"
5931,"club.123"
5933,"club.115"
5944,"club.115"
5958,"club.127"
5962,"club.209"
6015,"club.101"
6024,"club.210"
6025,"club.420"
6037,"club.218"
6069,"club.108"
6100,"club.402"
6110,"club.402"
6120,"club.232"
6134,"club.123"
6155,"club.501"
6169,"club.604"
6175,"club.601"
6183,"club.601"
6205,"club.109"
6235,"club.405"
6236,"club.111"
6266,"club.105"
6270,"club.245"
6287,"club.123"
6290,"club.245"
6297,"club.129"
6300,"club.604"
6328,"club.115"
6338,"club.113"
6352,"club.406"
6357,"club.605"
6360,"club.406"
6363,"club.604"
6369,"club.413"
6390,"club.133"
6402,"club.123"
6414,"club.133"
6433,"club.242"
6434,"club.133"
6437,"club.402"
6443,"club.133"
6466,"club.413"
6470,"club.121"
6479,"club.111"
6511,"club.245"
6549,"club.128"
6550,"club.211"
6564,"club.417"
6566,"club.229"
6589,"club.218"
6608,"club.133"
6612,"club.242"
6621,"club.209"
6649,"club.206"
6659,"club.109"
6679,"club.121"
6693,"club.111"
6695,"club.242"
6717,"club.109"
6724,"club.417"
6727,"club.221"
6733,"club.101"
6734,"club.109"
6737,"club.410"
6749,"club.133"
6761,"club.111"
6791,"club.122"
6800,"club.111"
6809,"club.111"
6820,"club.402"
6823,"club.242"
6828,"club.109"
6843,"club.402"
6848,"club.213"
6872,"club.213"
6875,"club.102"
6877,"club.213"
6900,"club.242"
6904,"club.242"
6905,"club.221"
6915,"club.601"
6916,"club.249"
6925,"club.404"
6938,"club.126"
6951,"club.249"
6952,"club.403"
6989,"club.219"
6990,"club.604"
6996,"club.111"
6999,"club.111"
7015,"club.604"
7017,"club.213"
7024,"club.123"
7029,"club.119"
7031,"club.403"
7033,"club.245"
7038,"club.413"
7040,"club.420"
7041,"club.403"
7057,"club.501"
7064,"club.111"
7078,"club.132"
7079,"club.258"
7093,"club.111"
7094,"club.249"
7135,"club.604"
7140,"club.209"
7151,"club.115"
7154,"club.258"
7170,"club.133"
7177,"club.402"
7180,"club.109"
7198,"club.232"
7199,"club.111"
7220,"club.117"
7223,"club.403"
7253,"club.404"
7257,"club.115"
7265,"club.604"
7279,"club.105"
7284,"club.603"
7293,"club.404"
7295,"club.245"
7298,"club.132"
7329,"club.249"
7333,"club.132"
7340,"club.111"
7346,"club.123"
7374,"club.242"
7389,"club.402"
7398,"club.261"
7436,"club.252"
7438,"club.123"
7455,"club.123"
7459,"club.242"
7460,"club.123"
7464,"club.109"
7480,"club.403"
7521,"club.218"
7524,"club.242"
7531,"club.125"
7545,"club.404"
7550,"club.117"
7555,"club.109"
7569,"club.229"
7604,"club.111"
7609,"club.221"
7631,"club.410"
7655,"club.603"
7660,"club.102"
7662,"club.237"
7664,"club.124"
7679,"club.603"
7685,"club.402"
7697,"club.406"
7726,"club.123"
7732,"club.206"
7737,"club.132"
7741,"club.132"
7745,"club.417"
7768,"club.603"
7775,"club.604"
7776,"club.105"
7801,"club.232"
7816,"club.111"
7817,"club.245"
7822,"club.219"
7827,"club.105"
7841,"club.132"
7869,"club.125"
7872,"club.407"
7873,"club.413"
7891,"club.127"
7912,"club.242"
7925,"club.128"
7930,"club.119"
7934,"club.128"
7937,"club.232"
7946,"club.406"
7949,"club.119"
7965,"club.601"
7978,"club.123"
7982,"club.201"
7993,"club.132"
8005,"club.252"
8007,"club.257"
8011,"club.221"
8017,"club.402"
8018,"club.117"
8021,"club.403"
8043,"club.128"
8050,"club.245"
8062,"club.125"
8077,"club.245"
8101,"club.402"
8112,"club.410"
8119,"club.109"
8122,"club.132"
8124,"club.410"
8133,"club.128"
8137,"club.123"
8139,"club.125"
8145,"club.243"
8146,"club.206"
8182,"club.232"
8185,"club.242"
8187,"club.105"
8204,"club.133"
8205,"club.123"
8232,"club.202"
8235,"club.123"
8264,"club.206"
8265,"club.123"
8267,"club.132"
8301,"club.245"
8326,"club.111"
8351,"club.209"
8372,"club.132"
8397,"club.123"
8398,"club.401"
8434,"club.101"
8437,"club.218"
8441,"club.229"
8452,"club.232"
8461,"club.105"
8466,"club.132"
8478,"club.406"
8495,"club.123"
8504,"club.132"
8518,"club.403"
8559,"club.245"
8605,"club.604"
8620,"club.109"
8624,"club.405"
8627,"club.123"
8639,"club.105"
8661,"club.232"
8674,"club.125"
8723,"club.105"
8730,"club.410"
8753,"club.101"
8754,"club.101"
8757,"club.115"
8759,"club.126"
8760,"club.101"
8762,"club.101"
8779,"club.109"
8797,"club.123"
8821,"club.257"
8844,"club.406"
8845,"club.404"
8857,"club.132"
8867,"club.127"
8899,"club.111"
8900,"club.257"
8901,"club.410"
8912,"club.403"
8923,"club.111"
8972,"club.401"
8991,"club.132"
8993,"club.410"
8994,"club.109"
8995,"club.407"
9018,"club.209"
9047,"club.413"
9069,"club.242"
9093,"club.123"
9103,"club.410"
9108,"club.212"
9117,"club.603"
9132,"club.605"
9136,"club.413"
9152,"club.229"
9160,"club.219"
9163,"club.122"
9175,"club.410"
9207,"club.401"
9237,"club.420"
9249,"club.415"
9276,"club.604"
9303,"club.408"
9306,"club.410"
9312,"club.123"
9314,"club.111"
9319,"club.115"
9364,"club.501"
9376,"club.245"
9385,"club.115"
9442,"club.101"
9460,"club.125"
9473,"club.115"
9479,"club.218"
9484,"club.229"
9523,"club.111"
9612,"club.404"
9632,"club.245"
9644,"club.127"
9668,"club.111"
9677,"club.221"
9691,"club.410"
9698,"club.123"
9711,"club.249"
9718,"club.125"
9757,"club.408"
9770,"club.257"
9784,"club.221"
9811,"club.604"
9836,"club.604"
9838,"club.420"
9843,"club.218"
9863,"club.601"
9896,"club.604"
9908,"club.111"
9929,"club.128"
9934,"club.128"
9950,"club.132"
9953,"club.132"
9973,"club.413"
10123,"club.410"
10127,"club.111"
10134,"club.242"
10153,"club.109"
10174,"club.229"
10240,"club.229"
10245,"club.410"
10251,"club.420"
10273,"club.212"
10285,"club.109"
10290,"club.229"
10307,"club.132"
10348,"club.262"
10353,"club.117"
10376,"club.109"
10402,"club.123"
10403,"club.128"
10467,"club.105"
10469,"club.105"
10486,"club.402"
10487,"club.111"
10534,"club.132"
10553,"club.604"
10565,"club.406"
10590,"club.245"
10593,"club.108"
10607,"club.111"
10615,"club.604"
10653,"club.111"
10654,"club.107"
10656,"club.124"
10666,"club.115"
10668,"club.245"
10682,"club.109"
10687,"club.115"
10691,"club.115"
10718,"club.209"
10719,"club.111"
10722,"club.111"
10762,"club.605"
10773,"club.129"
10789,"club.221"
10806,"club.119"
10823,"club.117"
10829,"club.245"
10841,"club.604"
10851,"club.132"
10870,"club.111"
10871,"club.111"
10874,"club.111"
10887,"club.124"
10909,"club.402"
10937,"club.111"
10945,"club.245"
10954,"club.117"
10966,"club.111"
10969,"club.124"
10972,"club.123"
10980,"club.410"
10999,"club.402"
11014,"club.252"
11016,"club.110"
11025,"club.218"
11065,"club.111"
11074,"club.245"
11115,"club.123"
11121,"club.245"
11177,"club.420"
11180,"club.413"
11193,"club.125"
11210,"club.126"
11218,"club.123"
11238,"club.111"
11243,"club.402"
11263,"club.413"
11267,"club.111"
11271,"club.403"
11273,"club.111"
11275,"club.123"
11280,"club.403"
11282,"club.105"
11295,"club.111"
11297,"club.604"
11311,"club.109"
11339,"club.129"
11350,"club.109"
11352,"club.115"
11376,"club.105"
11384,"club.601"
11387,"club.128"
11431,"club.105"
11456,"club.115"
11466,"club.111"
11472,"club.218"
11476,"club.402"
11485,"club.132"
11487,"club.604"
11490,"club.109"
11504,"club.402"
11511,"club.604"
11521,"club.212"
11530,"club.604"
11545,"club.233"
11547,"club.402"
11582,"club.111"
11583,"club.404"
11604,"club.211"
11616,"club.117"
11618,"club.402"
11631,"club.111"
11633,"club.111"
11634,"club.133"
11640,"club.404"
11654,"club.413"
11657,"club.111"
11689,"club.242"
11714,"club.123"
11739,"club.129"
11742,"club.406"
11748,"club.111"
11767,"club.111"
11784,"club.402"
11807,"club.113"
11831,"club.402"
11841,"club.249"
11844,"club.604"
11845,"club.124"
11858,"club.221"
11887,"club.245"
11903,"club.103"
11904,"club.114"
11915,"club.413"
11930,"club.233"
11939,"club.115"
11941,"club.604"
11952,"club.413"
11962,"club.242"
11972,"club.111"
11980,"club.123"
11985,"club.111"
11996,"club.107"
12006,"club.229"
12011,"club.123"
12047,"club.115"
12059,"club.221"
12077,"club.242"
12096,"club.413"
12108,"club.221"
12123,"club.242"
12134,"club.218"
12145,"club.242"
12152,"club.115"
12156,"club.229"
12203,"club.105"
12205,"club.123"
12210,"club.402"
12259,"club.109"
12265,"club.117"
12280,"club.111"
12285,"club.232"
12317,"club.219"
12330,"club.115"
12344,"club.115"
12358,"club.111"
12362,"club.133"
12371,"club.402"
12378,"club.117"
12392,"club.402"
12393,"club.402"
12421,"club.123"
12436,"club.128"
12442,"club.101"
12443,"club.107"
12460,"club.111"
12466,"club.413"
12473,"club.413"
12481,"club.402"
12485,"club.132"
12545,"club.123"
12549,"club.109"
12554,"club.119"
12568,"club.242"
12572,"club.111"
12574,"club.117"
12581,"club.242"
12598,"club.202"
12624,"club.233"
12626,"club.129"
12628,"club.133"
12633,"club.221"
12649,"club.109"
12654,"club.128"
12659,"club.105"
12669,"club.132"
12683,"club.604"
12689,"club.123"
12696,"club.413"
12708,"club.221"
12737,"club.103"
12744,"club.604"
12766,"club.258"
12782,"club.404"
12826,"club.123"
12827,"club.404"
12829,"club.124"
12830,"club.420"
12831,"club.128"
12848,"club.222"
12858,"club.242"
12882,"club.105"
12886,"club.109"
12894,"club.105"
12896,"club.123"
12914,"club.604"
12921,"club.111"
12929,"club.132"
12947,"club.253"
12956,"club.111"
12975,"club.105"
12984,"club.604"
12987,"club.125"
13000,"club.119"
13025,"club.402"
13030,"club.132"
13032,"club.123"
13051,"club.413"
13065,"club.402"
13075,"club.103"
13089,"club.109"
13108,"club.604"
13110,"club.128"
13114,"club.115"
13151,"club.111"
13183,"club.402"
13189,"club.123"
13190,"club.107"
13231,"club.111"
13251,"club.115"
13256,"club.413"
13268,"club.413"
13271,"club.111"
13283,"club.402"
13286,"club.123"
13302,"club.402"
13303,"club.402"
13340,"club.103"
13345,"club.405"
13347,"club.111"
13352,"club.413"
13361,"club.205"
13362,"club.117"
13391,"club.119"
13399,"club.232"
13417,"club.406"
13418,"club.233"
13432,"club.413"
13438,"club.123"
13456,"club.111"
13460,"club.111"
13468,"club.103"
13471,"club.111"
13475,"club.111"
13476,"club.245"
13478,"club.115"
13479,"club.117"
13488,"club.402"
13495,"club.245"
13506,"club.109"
13514,"club.111"
13518,"club.111"
13519,"club.117"
13522,"club.410"
13525,"club.101"
13530,"club.125"
13535,"club.123"
13551,"club.111"
13570,"club.128"
13579,"club.124"
13600,"club.123"
13617,"club.109"
13627,"club.125"
13637,"club.133"
13640,"club.604"
13656,"club.257"
13660,"club.133"
13672,"club.111"
13673,"club.115"
13674,"club.123"
13687,"club.132"
13690,"club.111"
13697,"club.604"
13707,"club.124"
13721,"club.105"
13729,"club.111"
13739,"club.111"
13746,"club.406"
13759,"club.123"
13796,"club.105"
13803,"club.604"
13826,"club.111"
13835,"club.121"
13848,"club.111"
13857,"club.233"
13895,"club.413"
13927,"club.101"
13950,"club.117"
13952,"club.219"
13956,"club.123"
13957,"club.204"
13958,"club.105"
13996,"club.111"
14009,"club.115"
14010,"club.111"
14013,"club.119"
14025,"club.124"
14036,"club.402"
14044,"club.124"
14052,"club.111"
14058,"club.109"
14077,"club.413"
14101,"club.242"
14117,"club.111"
14118,"club.126"
14121,"club.211"
14122,"club.402"
14142,"club.123"
14144,"club.124"
14154,"club.402"
14168,"club.232"
14195,"club.133"
14196,"club.111"
14200,"club.403"
14213,"club.402"
14224,"club.119"
14235,"club.242"
14241,"club.109"
14259,"club.408"
14260,"club.403"
14266,"club.402"
14269,"club.115"
14278,"club.115"
14304,"club.242"
14313,"club.115"
14317,"club.111"
14319,"club.111"
14358,"club.111"
14363,"club.202"
14366,"club.604"
14367,"club.121"
14380,"club.113"
14394,"club.132"
14410,"club.205"
14420,"club.108"
14421,"club.132"
14431,"club.420"
14458,"club.410"
14468,"club.257"
14475,"club.213"
14479,"club.105"
14481,"club.109"
14484,"club.118"
14550,"club.210"
14552,"club.105"
14601,"club.402"
14604,"club.201"
14614,"club.245"
14617,"club.111"
14636,"club.126"
14669,"club.105"
14673,"club.229"
14680,"club.410"
14696,"club.420"
14732,"club.229"
14750,"club.123"
14757,"club.245"
14761,"club.420"
14777,"club.111"
14794,"club.108"
14806,"club.117"
14810,"club.111"
14819,"club.102"
14825,"club.108"
14852,"club.242"
14858,"club.125"
14861,"club.111"
14865,"club.117"
14869,"club.123"
14873,"club.604"
14874,"club.108"
14897,"club.249"
14907,"club.111"
14919,"club.246"
14924,"club.213"
14938,"club.229"
14941,"club.408"
14943,"club.108"
14946,"club.115"
14977,"club.410"
14983,"club.111"
14991,"club.107"
14992,"club.111"
15002,"club.117"
15035,"club.108"
15046,"club.123"
15049,"club.218"
15072,"club.605"
15075,"club.417"
15083,"club.109"
15086,"club.410"
15089,"club.111"
15094,"club.123"
15110,"club.229"
15132,"club.117"
15148,"club.101"
15151,"club.266"
15155,"club.111"
15157,"club.108"
15164,"club.413"
15166,"club.109"
15227,"club.111"
15233,"club.129"
15237,"club.109"
15238,"club.129"
15246,"club.245"
15267,"club.403"
15282,"club.128"
15287,"club.604"
15295,"club.128"
15296,"club.221"
15313,"club.111"
15314,"club.604"
15318,"club.403"
15380,"club.111"
15382,"club.123"
15387,"club.111"
15389,"club.249"
15406,"club.242"
15411,"club.218"
15431,"club.111"
15432,"club.115"
15435,"club.111"
15438,"club.128"
15443,"club.108"
15456,"club.118"
15468,"club.111"
15473,"club.218"
15478,"club.245"
15490,"club.413"
15512,"club.256"
15522,"club.601"
15525,"club.403"
15531,"club.108"
15539,"club.403"
15548,"club.111"
15564,"club.111"
15605,"club.249"
15636,"club.413"
15638,"club.109"
15646,"club.117"
15650,"club.111"
15669,"club.245"
15675,"club.242"
15695,"club.402"
15697,"club.242"
15701,"club.403"
15704,"club.103"
15710,"club.111"
15732,"club.403"
15747,"club.403"
15754,"club.111"
15757,"club.219"
15766,"club.111"
15782,"club.403"
15797,"club.403"
15813,"club.117"
15817,"club.105"
15819,"club.129"
15828,"club.111"
15832,"club.604"
15846,"club.119"
15861,"club.101"
15868,"club.109"
15878,"club.221"
15882,"club.258"
15936,"club.103"
15939,"club.404"
15983,"club.242"
15988,"club.119"
16021,"club.413"
16030,"club.107"
16062,"club.133"
16074,"club.408"
16077,"club.604"
16085,"club.125"
16090,"club.123"
16092,"club.201"
16113,"club.109"
16118,"club.133"
16126,"club.113"
16131,"club.123"
16139,"club.210"
16153,"club.413"
16171,"club.242"
16181,"club.111"
16185,"club.109"
16236,"club.108"
16248,"club.202"
16270,"club.133"
16286,"club.204"
16290,"club.123"
16294,"club.111"
16319,"club.201"
16321,"club.413"
16325,"club.133"
16344,"club.109"
16365,"club.111"
16372,"club.129"
16383,"club.133"
16392,"club.420"
16407,"club.604"
16410,"club.133"
16431,"club.402"
16448,"club.109"
16461,"club.115"
16466,"club.111"
16476,"club.126"
16480,"club.413"
16487,"club.115"
16514,"club.413"
16516,"club.127"
16547,"club.111"
16567,"club.115"
16599,"club.103"
16600,"club.209"
16618,"club.111"
16622,"club.241"
16626,"club.103"
16637,"club.111"
16654,"club.105"
16660,"club.127"
16665,"club.111"
16666,"club.111"
16667,"club.101"
16673,"club.133"
16704,"club.111"
16724,"club.115"
16729,"club.245"
16731,"club.111"
16756,"club.108"
16777,"club.105"
16790,"club.111"
16805,"club.603"
16818,"club.115"
16821,"club.242"
16828,"club.110"
16835,"club.604"
16841,"club.420"
16880,"club.404"
16890,"club.123"
16924,"club.245"
16956,"club.115"
16959,"club.115"
16989,"club.111"
16994,"club.604"
16999,"club.501"
17001,"club.108"
17004,"club.108"
17014,"club.115"
17019,"club.124"
17046,"club.258"
17078,"club.202"
17101,"club.129"
17103,"club.124"
17113,"club.402"
17126,"club.408"
17133,"club.232"
17155,"club.128"
17173,"club.402"
17208,"club.114"
17224,"club.403"
17232,"club.243"
17241,"club.113"
17247,"club.401"
17304,"club.103"
17308,"club.128"
17323,"club.111"
17333,"club.111"
17345,"club.604"
17359,"club.403"
17360,"club.402"
17362,"club.115"
17365,"club.245"
17372,"club.604"
17373,"club.420"
17379,"club.213"
17384,"club.119"
17389,"club.115"
17390,"club.117"
17410,"club.115"
17412,"club.133"
17416,"club.420"
17454,"club.123"
17455,"club.403"
17460,"club.132"
17479,"club.133"
17486,"club.402"
17507,"club.132"
17523,"club.233"
17540,"club.117"
17541,"club.245"
17551,"club.242"
17558,"club.245"
17600,"club.245"
17612,"club.420"
17655,"club.109"
17658,"club.221"
17683,"club.109"
17684,"club.211"
17708,"club.115"
17709,"club.407"
17720,"club.107"
17724,"club.111"
17729,"club.211"
17733,"club.133"
17737,"club.133"
17739,"club.261"
17740,"club.407"
17749,"club.111"
17757,"club.413"
17761,"club.204"
17768,"club.125"
17777,"club.403"
17783,"club.402"
17824,"club.127"
17853,"club.132"
17861,"club.229"
17877,"club.111"
17886,"club.218"
17926,"club.402"
17930,"club.133"
17938,"club.111"
17957,"club.108"
17963,"club.132"
17966,"club.123"
17969,"club.221"
17978,"club.125"
17992,"club.101"
17993,"club.245"
18014,"club.402"
18019,"club.242"
18037,"club.413"
18100,"club.221"
18129,"club.245"
18138,"club.211"
18142,"club.133"
18150,"club.218"
18199,"club.109"
18208,"club.245"
18249,"club.252"
18274,"club.117"
18275,"club.109"
18279,"club.604"
18310,"club.132"
18340,"club.245"
18343,"club.604"
18349,"club.604"
18394,"club.111"
18412,"club.119"
18428,"club.402"
18433,"club.222"
18434,"club.212"
18464,"club.205"
18469,"club.124"
18473,"club.402"
18475,"club.402"
18486,"club.605"
18488,"club.111"
18490,"club.229"
18503,"club.117"
18504,"club.124"
18519,"club.406"
18525,"club.111"
18532,"club.402"
18569,"club.123"
18571,"club.109"
18588,"club.117"
18604,"club.212"
18623,"club.123"
18626,"club.402"
18636,"club.111"
18655,"club.222"
18661,"club.242"
18664,"club.111"
18675,"club.117"
18685,"club.604"
18714,"club.111"
18720,"club.132"
18726,"club.402"
18732,"club.242"
18735,"club.123"
18739,"club.111"
18747,"club.111"
18781,"club.245"
18795,"club.111"
18812,"club.219"
18818,"club.109"
18829,"club.122"
18843,"club.132"
18849,"club.109"
18850,"club.108"
18865,"club.105"
18872,"club.111"
18877,"club.410"
18893,"club.233"
18894,"club.127"
18903,"club.108"
18909,"club.115"
18923,"club.111"
18940,"club.111"
18941,"club.229"
18943,"club.110"
18957,"club.246"
18962,"club.109"
18974,"club.403"
18981,"club.403"
18994,"club.115"
19031,"club.109"
19049,"club.133"
19062,"club.132"
19066,"club.402"
19077,"club.126"
19105,"club.111"
19113,"club.111"
19115,"club.101"
19117,"club.420"
19133,"club.413"
19188,"club.403"
19205,"club.111"
19206,"club.103"
19213,"club.232"
19245,"club.232"
19253,"club.114"
19276,"club.218"
19282,"club.129"
19288,"club.221"
19317,"club.402"
19330,"club.106"
19342,"club.233"
19347,"club.113"
19352,"club.402"
19354,"club.604"
19359,"club.604"
19364,"club.123"
19399,"club.249"
19402,"club.109"
19408,"club.402"
19413,"club.117"
19420,"club.402"
19425,"club.132"
19438,"club.115"
19444,"club.132"
19450,"club.111"
19454,"club.111"
19483,"club.242"
19487,"club.115"
19489,"club.221"
19490,"club.111"
19505,"club.245"
19507,"club.242"
19517,"club.122"
19519,"club.402"
19520,"club.408"
19542,"club.109"
19586,"club.111"
19596,"club.604"
19605,"club.604"
19613,"club.129"
19616,"club.249"
19640,"club.210"
19641,"club.204"
19644,"club.123"
19648,"club.101"
19655,"club.413"
19668,"club.113"
19724,"club.111"
19742,"club.413"
19756,"club.402"
19769,"club.118"
19802,"club.117"
19807,"club.111"
19813,"club.111"
19817,"club.108"
19828,"club.232"
19832,"club.403"
19849,"club.229"
19855,"club.111"
19859,"club.410"
19861,"club.410"
19907,"club.410"
