"UID","JOB_CATEGORY","JOB_DEP","Working_hours","eco_sect","Terms_of_emp","Employer_type","Emolument","JOB_CONDITION","employee_count","Work_description"
388,"X","01",1824,"OZ","AUT","ct_2",14287,"C","tr_4","524c"
389,"O","01",1824,"OZ","AUT","ct_1",17656,"C","tr_6","532c"
398,"O","69",1861,"CE","CDI","ct_9",51231,"C","tr_4","385c"
402,"O","69",1818,"JC","CDI","ct_9",19903,"C","tr_3","544a"
407,"O","01",1838,"QA","CDI","ct_8",31032,"C","tr_6","432b"
414,"O","01",3000,"QB","CDI","ct_7",19703,"D","tr_1","563a"
424,"O","01",1907,"CL","CDI","ct_9",22592,"C","tr_6","673c"
431,"O","01",2028,"QA","CDI","ct_6",20523,"C","tr_1","526b"
435,"O","01",1836,"OZ","CDD","ct_2",18850,"C","tr_6","434d"
446,"O","01",199,"TZ","CDI","ct_7",2093,"C","tr_0","563c"
448,"O","69",600,"NZ","TTP","ct_6",12753,"P","tr_1","634d"
451,"O","69",722,"FZ","CDI","ct_9",5470,"C","tr_1","681b"
454,"O","69",1450,"IZ","CDI","ct_9",17401,"P","tr_6","636d"
461,"O","01",1911,"CL","CDI","ct_9",30357,"C","tr_4","477a"
462,"O","69",1574,"GZ","CDI","ct_9",17300,"C","tr_3","461b"
465,"O","01",2028,"GZ","CDI","ct_9",21877,"C","tr_3","461b"
468,"O","01",1819,"QA","CDI","ct_3",18596,"C","tr_6","526e"
473,"O","01",1832,"KZ","CDI","ct_9",31424,"C","tr_3","542a"
476,"O","39",1073,"CH","CDI","ct_9",10798,"P","tr_5","623g"
491,"O","01",781,"HZ","CDD","ct_6",7500,"P","tr_1","642a"
503,"O","01",285,"GZ","CDI","ct_9",11797,"P","tr_5","551a"
505,"O","69",1990,"KZ","CDI","ct_9",26654,"C","tr_5","467b"
514,"X","01",1359,"QB","AUT","ct_8",13460,"C","tr_4","525d"
518,"O","01",1828,"GZ","CDI","ct_9",17994,"C","tr_4","554a"
521,"O","01",1823,"KZ","CDI","ct_9",25888,"C","tr_1","545b"
529,"O","01",1841,"CG","CDI","ct_9",25303,"C","tr_3","475b"
546,"O","01",1647,"SZ","CDI","ct_8",17477,"P","tr_1","543b"
548,"O","01",2286,"IZ","CDI","ct_9",29979,"C","tr_3","488a"
551,"O","01",272,"TZ","CDI","ct_7",13371,"C","tr_1","563c"
561,"O","69",1806,"GZ","CDI","ct_9",29479,"C","tr_3","374d"
569,"O","01",1820,"MA","CDI","ct_6",16502,"C","tr_1","542a"
571,"O","01",1820,"PZ","CDI","ct_8",27935,"C","tr_4","341a"
577,"O","01",1477,"QB","CDI","ct_8",14146,"P","tr_4","563b"
587,"O","01",1856,"CH","CDI","ct_9",19258,"C","tr_2","628g"
596,"O","69",1470,"KZ","CDI","ct_9",20839,"P","tr_1","545b"
598,"O","01",1841,"QB","CDI","ct_8",13787,"P","tr_6","563b"
603,"O","01",1430,"GZ","CDI","ct_9",11386,"P","tr_3","552a"
609,"O","01",1820,"QA","AUT","ct_3",21527,"C","tr_6","632k"
610,"O","01",1373,"SZ","CDI","ct_9",10589,"P","tr_3","684a"
614,"O","01",1820,"GZ","CDI","ct_9",18526,"C","tr_1","542a"
622,"O","01",1798,"QA","CDI","ct_8",21657,"C","tr_5","431f"
624,"O","69",1617,"FZ","CDI","ct_9",12167,"C","tr_1","672a"
628,"O","01",1869,"CH","CDI","ct_9",25229,"C","tr_3","628c"
638,"O","01",179,"IZ","CDI","ct_9",1508,"Y","tr_0","543h"
640,"O","01",1653,"KZ","CDI","ct_8",34473,"C","tr_5","467c"
644,"O","01",1820,"GZ","CDI","ct_9",26606,"C","tr_2","462d"
651,"O","71",1551,"GZ","CDI","ct_9",15884,"P","tr_5","462b"
652,"O","01",1828,"QB","CDI","ct_8",16487,"C","tr_4","525d"
660,"O","01",1140,"PZ","CDI","ct_8",11654,"P","tr_5","525a"
665,"O","01",486,"NZ","CDI","ct_9",4018,"P","tr_5","684a"
674,"O","01",1715,"GZ","CDI","ct_9",18766,"C","tr_1","685a"
678,"O","01",1778,"TZ","CDI","ct_7",12300,"C","tr_1","563a"
684,"O","01",2200,"CG","CDI","ct_9",57324,"C","tr_3","373c"
685,"O","01",2028,"GZ","CDI","ct_9",28489,"C","tr_3","543h"
687,"O","69",2193,"CM","CDI","ct_9",44443,"C","tr_3","384c"
689,"O","69",2028,"FZ","CDI","ct_9",58850,"C","tr_3","477c"
694,"O","01",3000,"QB","CDI","ct_7",12302,"D","tr_1","563a"
701,"O","01",1271,"GZ","CDI","ct_9",10758,"C","tr_6","551a"
714,"O","01",933,"QB","CDI","ct_8",5562,"C","tr_3","563b"
715,"O","69",1921,"CL","CDI","ct_9",30986,"C","tr_5","628a"
717,"O","01",1972,"EZ","CDI","ct_9",33991,"C","tr_5","628g"
724,"O","01",408,"GZ","CDI","ct_9",10539,"P","tr_1","477c"
726,"O","01",1820,"NZ","CDI","ct_9",26127,"C","tr_1","526b"
734,"O","01",1434,"QB","CDI","ct_8",12383,"P","tr_5","563b"
743,"O","01",1930,"QB","CDI","ct_9",24292,"C","tr_2","526c"
745,"O","69",1913,"HZ","CDI","ct_9",23101,"C","tr_6","521a"
747,"O","69",142,"NZ","TTP","ct_9",13328,"P","tr_1","636d"
754,"O","01",1327,"QB","CDI","ct_8",6928,"C","tr_5","525d"
765,"O","69",1809,"JA","CDI","ct_9",46104,"C","tr_5","388c"
772,"O","01",1157,"CL","CDI","ct_9",12217,"P","tr_6","651a"
779,"O","01",2022,"GZ","CDI","ct_9",21522,"C","tr_3","487a"
780,"O","01",1274,"QB","CDI","ct_3",11314,"P","tr_4","525d"
787,"O","01",1820,"GZ","CDI","ct_6",49337,"C","tr_1","344d"
789,"O","01",1196,"QB","CDI","ct_8",11859,"P","tr_2","526c"
810,"O","69",1436,"GZ","CDI","ct_9",21484,"P","tr_1","433d"
814,"O","01",1170,"BZ","CDI","ct_9",19297,"P","tr_1","621g"
817,"O","01",2022,"LZ","CDI","ct_6",20772,"C","tr_1","542a"
818,"O","69",1858,"PZ","CDI","ct_8",38297,"C","tr_5","341a"
829,"O","69",1820,"QA","AUT","ct_3",24123,"C","tr_6","632k"
833,"O","69",2169,"CM","CDI","ct_9",24359,"C","tr_5","628a"
836,"O","69",1820,"HZ","CDI","ct_9",20394,"C","tr_6","451a"
843,"O","69",1820,"JC","CDI","ct_9",28357,"C","tr_3","478a"
848,"O","01",1820,"PZ","CDI","ct_8",21141,"C","tr_2","421b"
851,"O","01",1824,"OZ","AUT","ct_1",16898,"C","tr_6","532b"
857,"O","01",1820,"PZ","CDI","ct_8",28321,"C","tr_5","421b"
859,"O","71",1950,"NZ","CDI","ct_9",24596,"C","tr_1","486d"
866,"O","69",1461,"CF","CDI","ct_9",16309,"P","tr_5","475b"
869,"O","01",1941,"CG","CDI","ct_9",15945,"C","tr_3","674a"
882,"O","01",1873,"CB","CDI","ct_9",31202,"C","tr_6","485b"
883,"O","01",1820,"KZ","CDI","ct_9",21359,"C","tr_1","526b"
891,"O","01",1395,"QB","CDI","ct_8",12615,"P","tr_4","434f"
892,"O","39",475,"PZ","CDI","ct_8",20694,"C","tr_4","341a"
900,"O","73",1819,"MB","CDI","ct_9",28489,"C","tr_5","462e"
906,"O","64",2500,"HZ","CDI","ct_9",23753,"C","tr_3","641a"
907,"O","01",1820,"GZ","CDI","ct_9",21091,"C","tr_1","462a"
910,"O","01",2491,"QA","CDI","ct_9",25525,"C","tr_2","526e"
912,"O","01",1506,"GZ","CDI","ct_9",12119,"C","tr_4","551a"
918,"O","01",939,"CL","CDI","ct_9",24622,"P","tr_4","461d"
921,"O","71",1818,"MA","AUT","ct_8",19807,"C","tr_3","543c"
924,"O","01",1706,"CL","CDI","ct_9",16574,"C","tr_3","676e"
930,"O","69",365,"NZ","CDI","ct_6",12175,"P","tr_6","534a"
935,"O","01",1820,"QB","CDI","ct_8",14272,"C","tr_3","525d"
936,"O","01",1994,"GZ","CDI","ct_9",15674,"C","tr_3","554c"
944,"O","02",1876,"QB","CDI","ct_7",6495,"D","tr_1","563a"
946,"O","75",1900,"GZ","CDI","ct_9",19156,"C","tr_3","533a"
947,"O","77",1872,"FZ","CDI","ct_9",54362,"C","tr_5","382c"
957,"O","02",1820,"PZ","CDI","ct_6",19993,"C","tr_1","423a"
961,"O","02",1561,"CH","CDI","ct_9",29731,"C","tr_3","384b"
976,"O","51",280,"FZ","CDI","ct_6",17247,"C","tr_0","641a"
977,"O","02",1005,"HZ","CDI","ct_9",9326,"P","tr_1","682a"
980,"O","02",1836,"CG","CDI","ct_9",27058,"C","tr_6","628d"
987,"O","02",1039,"QB","CDI","ct_8",8661,"P","tr_2","526c"
995,"O","02",1829,"CB","CDI","ct_9",15245,"C","tr_3","676a"
1009,"O","02",1799,"OZ","CDI","ct_4",19810,"C","tr_4","434b"
1010,"O","02",1608,"GZ","CDI","ct_9",11557,"C","tr_2","552a"
1015,"O","02",1470,"HZ","CDI","ct_9",16743,"C","tr_3","487b"
1016,"O","02",1819,"CA","CDI","ct_9",40522,"C","tr_6","385b"
1020,"X","02",1086,"QB","CDI","ct_8",5012,"C","tr_6","676c"
1023,"O","02",1729,"MA","CDI","ct_9",24822,"C","tr_1","465a"
1028,"O","02",1820,"QB","CDI","ct_8",16192,"C","tr_4","526a"
1032,"O","02",1894,"QA","CDI","ct_9",29366,"C","tr_3","433a"
1034,"O","02",1868,"QB","CDI","ct_8",20216,"C","tr_5","461b"
1040,"O","54",2200,"GZ","CDI","ct_9",36746,"C","tr_4","462b"
1041,"O","02",903,"QA","CDI","ct_9",8481,"P","tr_4","526a"
1049,"O","59",1593,"FZ","CDI","ct_9",28893,"C","tr_3","481b"
1050,"O","02",1820,"QB","CDI","ct_8",19547,"C","tr_1","526d"
1051,"O","02",1834,"PZ","CDI","ct_1",17602,"C","tr_5","524b"
1053,"O","02",1820,"QA","CDI","ct_8",27070,"C","tr_6","431f"
1057,"O","02",1901,"GZ","CDI","ct_9",16339,"C","tr_3","652a"
1059,"X","02",750,"OZ","AUT","ct_2",5963,"P","tr_2","524c"
1061,"O","92",2200,"MA","CDI","ct_9",48768,"C","tr_1","543g"
1062,"O","02",705,"PZ","CDI","ct_8",37028,"C","tr_4","422b"
1070,"X","02",404,"PZ","AUT","ct_8",14419,"P","tr_4","543g"
1072,"O","80",160,"HZ","CDI","ct_9",5427,"C","tr_6","521a"
1080,"O","02",1537,"CG","CDI","ct_9",31157,"P","tr_6","384a"
1084,"O","51",1858,"FZ","CDI","ct_9",20596,"C","tr_3","621c"
1086,"O","59",1587,"CM","CDD","ct_9",14827,"C","tr_3","632f"
1090,"O","02",895,"QA","CDI","ct_9",9701,"P","tr_6","526a"
1102,"O","78",1841,"GZ","CDI","ct_9",21939,"C","tr_3","551a"
1106,"O","51",906,"PZ","CDI","ct_9",8226,"P","tr_2","423b"
1118,"O","02",2183,"HZ","CDI","ct_9",17560,"C","tr_5","641a"
1125,"O","77",2322,"HZ","CDI","ct_9",19395,"C","tr_3","641a"
1129,"O","02",1820,"QA","AUT","ct_3",22714,"C","tr_6","632k"
1132,"X","02",545,"CL","AUT","ct_9",3399,"C","tr_6","673c"
1138,"O","02",994,"QB","CDI","ct_7",2504,"D","tr_1","563a"
1141,"O","02",1839,"GZ","CDI","ct_9",17853,"C","tr_1","462b"
1143,"O","02",1900,"IZ","CDI","ct_9",21758,"C","tr_4","636d"
1158,"O","02",1751,"QB","CDI","ct_9",15716,"C","tr_4","525d"
1159,"O","02",1938,"CC","CDI","ct_9",22049,"C","tr_4","628d"
1165,"O","02",1982,"FZ","CDI","ct_9",18107,"C","tr_5","632a"
1171,"O","02",1824,"OZ","AUT","ct_1",17190,"C","tr_6","532c"
1175,"O","02",2028,"GZ","CDI","ct_9",20172,"C","tr_3","634a"
1179,"O","02",NA,"GZ","CDI","ct_9",24605,"C","tr_2","463d"
1186,"O","02",2028,"QA","AUT","ct_3",24762,"C","tr_6","431c"
1188,"O","02",450,"HZ","CDD","ct_9",4042,"C","tr_3","641a"
1194,"O","02",1834,"CM","CDI","ct_9",25728,"C","tr_6","626b"
1201,"O","02",2100,"QA","CDI","ct_6",17200,"C","tr_2","526e"
1206,"O","02",1820,"PZ","CDI","ct_8",30035,"C","tr_4","341a"
1216,"O","02",1820,"QA","AUT","ct_3",27032,"C","tr_6","632k"
1218,"A","02",1827,"CA","APP","ct_6",4180,"C","tr_1","683a"
1230,"O","02",2028,"KZ","CDI","ct_6",18292,"C","tr_1","467c"
1238,"O","60",1820,"JB","CDI","ct_9",31593,"C","tr_4","478d"
1244,"O","02",1887,"CH","CDI","ct_9",22093,"C","tr_3","623f"
1248,"O","02",1243,"NZ","TTP","ct_9",13312,"C","tr_2","632e"
1262,"O","63",312,"IZ","CDD","ct_9",3148,"P","tr_1","561c"
1275,"O","02",1876,"QA","CDI","ct_9",14384,"C","tr_3","526e"
1277,"O","02",1818,"LZ","CDI","ct_9",14543,"C","tr_1","684a"
1282,"O","02",70,"GZ","CDD","ct_9",11836,"C","tr_3","554j"
1290,"O","02",2200,"CH","CDI","ct_9",48915,"C","tr_6","385a"
1293,"O","75",1819,"JA","CDI","ct_9",28523,"C","tr_6","543g"
1300,"O","02",520,"CK","CDI","ct_6",6359,"P","tr_2","623g"
1302,"O","02",1860,"HZ","CDI","ct_9",26481,"C","tr_6","546c"
1307,"O","02",1829,"CH","CDI","ct_9",16835,"C","tr_2","676a"
1312,"O","02",1609,"QB","CDI","ct_2",17558,"C","tr_5","524c"
1320,"O","51",2200,"CG","CDI","ct_9",28184,"C","tr_4","484b"
1323,"O","02",1833,"CG","CDI","ct_9",23786,"C","tr_4","543b"
1327,"O","77",1498,"FZ","CDI","ct_9",22943,"C","tr_4","621c"
1333,"O","02",1042,"CH","CDI","ct_9",31874,"P","tr_5","388b"
1335,"O","02",816,"FZ","CDI","ct_9",11948,"P","tr_1","681a"
1336,"O","02",1027,"GZ","CDI","ct_9",13179,"P","tr_4","543f"
1341,"O","02",1521,"GZ","CDD","ct_9",14178,"P","tr_1","552a"
1342,"O","02",1820,"GZ","CDI","ct_9",40131,"C","tr_3","463e"
1354,"O","02",600,"RZ","TOA","ct_8",25942,"F","tr_2","354f"
1356,"O","02",2028,"GZ","CDI","ct_9",26783,"C","tr_2","462e"
1357,"O","59",1323,"QB","CDI","ct_8",14810,"C","tr_4","424a"
1361,"O","95",1820,"MA","CDI","ct_9",38068,"C","tr_5","486e"
1365,"O","77",456,"QB","CDI","ct_9",4737,"F","tr_3","525d"
1373,"O","75",2028,"MA","CDI","ct_6",28128,"C","tr_1","461e"
1377,"O","02",1227,"GZ","CDI","ct_9",25858,"C","tr_1","374a"
1378,"O","60",196,"KZ","CDI","ct_9",2087,"C","tr_1","545b"
1387,"X","02",1676,"QB","CDI","ct_8",9764,"C","tr_6","676c"
1388,"O","02",NA,"GZ","CDI","ct_9",25852,"C","tr_2","463c"
1390,"O","02",2069,"EZ","CDI","ct_5",25795,"C","tr_3","625h"
1393,"O","02",2028,"GZ","CDI","ct_9",25341,"C","tr_1","463b"
1412,"O","77",1799,"GZ","CDI","ct_9",16714,"C","tr_2","554f"
1419,"O","02",1956,"NZ","CDI","ct_2",20965,"C","tr_2","524c"
1424,"O","02",448,"TZ","CDI","ct_7",3936,"C","tr_1","563c"
1430,"O","51",915,"QA","CDI","ct_9",9075,"C","tr_2","526e"
1432,"O","02",2079,"GZ","CDI","ct_6",24314,"C","tr_4","486d"
1441,"O","75",1176,"PZ","CDI","ct_4",25501,"C","tr_6","342b"
1442,"O","02",1763,"NZ","CDI","ct_9",13237,"C","tr_5","543f"
1460,"O","02",1699,"GZ","CDI","ct_9",13880,"P","tr_3","553c"
1468,"O","02",1200,"GZ","CDI","ct_9",26116,"P","tr_6","374b"
1471,"O","02",1566,"QA","CDI","ct_8",11650,"P","tr_3","526a"
1474,"O","02",376,"IZ","CDI","ct_6",3128,"P","tr_2","561c"
1490,"O","02",1922,"GZ","CDI","ct_9",18038,"C","tr_1","542a"
1496,"O","02",1898,"CJ","CDI","ct_9",17046,"C","tr_3","622a"
1502,"O","02",1820,"CC","CDI","ct_9",20567,"C","tr_4","676c"
1511,"O","02",1820,"PZ","CDI","ct_8",15783,"C","tr_3","525b"
1512,"O","75",1824,"HZ","CDI","ct_5",29510,"C","tr_6","546a"
1519,"O","02",1740,"CM","CDD","ct_9",17748,"C","tr_5","628g"
1528,"O","02",1479,"QB","CDI","ct_8",10817,"P","tr_4","632k"
1537,"O","02",1700,"QB","CDI","ct_7",4755,"D","tr_1","563a"
1538,"O","51",1819,"QB","CDI","ct_8",20962,"P","tr_4","434d"
1541,"O","60",1820,"HZ","CDI","ct_9",36782,"C","tr_6","462e"
1544,"O","80",1841,"QA","AUT","ct_3",3471,"C","tr_6","431e"
1547,"O","93",1820,"CH","CDI","ct_9",25873,"C","tr_5","473c"
1556,"O","02",1820,"SZ","CDI","ct_8",16643,"C","tr_3","434e"
1557,"O","02",881,"QA","CDI","ct_9",13469,"C","tr_4","526e"
1561,"O","60",1820,"CJ","CDI","ct_9",25558,"C","tr_3","473c"
1562,"O","51",1377,"CK","CDI","ct_9",22977,"C","tr_6","477b"
1564,"O","02",1795,"CA","CDI","ct_9",19018,"C","tr_2","676c"
1565,"O","02",1820,"QB","CDI","ct_8",19925,"C","tr_3","434e"
1573,"O","02",1714,"FZ","CDI","ct_9",16152,"C","tr_1","634b"
1578,"O","02",1820,"OZ","TOA","ct_1",19526,"C","tr_4","524b"
1581,"O","77",1836,"GZ","CDI","ct_9",24338,"C","tr_6","462c"
1584,"O","02",1379,"CC","CDI","ct_9",10931,"C","tr_5","684a"
1589,"O","02",742,"IZ","CDI","ct_9",6226,"P","tr_1","561c"
1593,"O","02",1820,"HZ","CDI","ct_6",12234,"C","tr_3","643a"
1596,"O","02",1163,"IZ","CDD","ct_9",8316,"K","tr_0","676a"
1604,"O","02",517,"NZ","TTP","ct_9",11820,"P","tr_2","676a"
1611,"O","75",1671,"SZ","CDI","ct_8",21471,"C","tr_4","636d"
1614,"O","59",2184,"QB","CDI","ct_8",21165,"P","tr_3","526d"
1620,"O","02",1820,"QB","CDI","ct_8",16161,"C","tr_5","543g"
1627,"O","77",2112,"NZ","CDI","ct_9",18835,"C","tr_3","534a"
1631,"O","02",1820,"PZ","AUT","ct_1",21816,"C","tr_4","451e"
1647,"O","02",1862,"SZ","CDI","ct_6",15396,"C","tr_1","562b"
1649,"O","59",1891,"QB","CDI","ct_8",23618,"C","tr_2","526d"
1651,"O","02",1948,"CE","CDD","ct_9",20700,"C","tr_6","652a"
1653,"O","02",1365,"QA","CDI","ct_3",12154,"P","tr_6","525d"
1668,"O","02",1841,"CG","CDI","ct_9",20843,"C","tr_5","674a"
1679,"O","77",2175,"HZ","CDI","ct_9",33087,"C","tr_6","487b"
1680,"O","02",1820,"QB","CDI","ct_8",21159,"C","tr_2","543c"
1684,"O","08",1711,"FZ","CDI","ct_9",16856,"C","tr_3","621b"
1686,"O","02",1870,"QB","CDI","ct_8",21813,"C","tr_4","435b"
1699,"O","02",169,"QA","CDD","ct_3",1178,"C","tr_6","632k"
1700,"X","02",750,"OZ","AUT","ct_2",5322,"P","tr_2","524c"
1703,"O","02",588,"NZ","CDD","ct_9",11415,"C","tr_5","543f"
1705,"O","75",2943,"GZ","CDI","ct_9",32674,"C","tr_6","534a"
1708,"O","59",452,"QA","CDI","ct_3",10725,"P","tr_6","344a"
1715,"O","02",1766,"GZ","CDI","ct_6",21553,"P","tr_1","433d"
1718,"O","02",1815,"QA","AUT","ct_3",18947,"C","tr_6","525d"
1726,"O","02",1839,"CH","CDI","ct_9",17201,"C","tr_4","674d"
1732,"O","51",1818,"CC","CDI","ct_9",21664,"C","tr_4","542a"
1734,"O","02",522,"IZ","CDI","ct_9",4823,"F","tr_6","561f"
1742,"O","02",1861,"QA","CDI","ct_8",16100,"C","tr_2","526a"
1762,"O","02",1826,"IZ","CDI","ct_9",16778,"C","tr_6","424a"
1763,"O","51",2252,"JB","CDI","ct_9",47387,"C","tr_5","333d"
1769,"O","02",2215,"IZ","CDI","ct_9",33860,"C","tr_2","377a"
1772,"O","77",2028,"CM","CDI","ct_9",21915,"C","tr_3","637b"
1774,"O","02",1820,"CA","CDI","ct_9",25457,"C","tr_6","674c"
1776,"O","02",1813,"CM","CDI","ct_9",32158,"C","tr_3","479b"
1784,"O","77",130,"CA","CDI","ct_9",724,"C","tr_1","636c"
1785,"O","02",1843,"HZ","CDI","ct_5",20296,"C","tr_6","676d"
1787,"X","02",983,"SZ","AUT","ct_8",6184,"P","tr_3","564b"
1789,"O","78",1141,"FZ","CDI","ct_9",24350,"C","tr_6","382a"
1793,"O","63",1818,"CL","CDI","ct_9",17935,"C","tr_4","673c"
1796,"O","03",1379,"QB","CDI","ct_8",10951,"P","tr_4","525d"
1798,"O","63",1574,"PZ","CDD","ct_1",23851,"C","tr_3","422e"
1800,"O","03",1820,"QB","CDI","ct_8",18795,"C","tr_4","525d"
1806,"O","77",1976,"GZ","CDI","ct_9",53558,"C","tr_4","387b"
1816,"O","03",1792,"FZ","CDI","ct_9",27964,"C","tr_3","651a"
1817,"O","63",1819,"QB","CDI","ct_3",23842,"C","tr_5","432d"
1822,"O","03",2028,"CK","CDI","ct_9",46586,"C","tr_2","373d"
1826,"O","03",1820,"QA","CDI","ct_9",18639,"C","tr_1","526b"
1832,"O","03",1820,"QA","AUT","ct_3",37974,"C","tr_6","431a"
1843,"O","03",1820,"GZ","CDI","ct_9",21683,"C","tr_1","433d"
1845,"O","03",1820,"GZ","CDI","ct_6",47312,"C","tr_1","344d"
1846,"O","03",786,"EZ","CDI","ct_9",12765,"C","tr_2","676a"
1852,"O","71",1849,"CL","CDI","ct_9",24154,"C","tr_6","673c"
1856,"O","03",1760,"FZ","CDI","ct_9",29869,"C","tr_4","632a"
1866,"O","03",1772,"CM","CDI","ct_9",21804,"C","tr_1","477c"
1875,"O","63",1820,"GZ","CDI","ct_9",23292,"C","tr_2","643a"
1884,"O","03",1820,"QA","CDI","ct_9",18288,"C","tr_1","526b"
1890,"O","03",1932,"MA","CDI","ct_9",32554,"C","tr_3","461d"
1894,"O","03",2147,"QA","CDI","ct_8",28757,"C","tr_3","431d"
1896,"O","41",1856,"FZ","CDI","ct_9",28975,"C","tr_1","472c"
1907,"O","63",1547,"HZ","CDI","ct_9",16359,"P","tr_6","521a"
1914,"O","03",1934,"CJ","CDI","ct_9",22051,"C","tr_5","622c"
1916,"O","03",2034,"GZ","CDI","ct_9",14899,"C","tr_1","554h"
1918,"O","03",1364,"SZ","CDI","ct_8",12592,"C","tr_1","543g"
1919,"O","03",1617,"FZ","CDI","ct_9",27916,"C","tr_4","461d"
1932,"O","03",579,"HZ","CDI","ct_9",5306,"P","tr_4","641a"
1934,"O","63",1830,"QB","CDI","ct_8",42600,"C","tr_3","434a"
1951,"O","03",1697,"GZ","CDI","ct_9",15326,"C","tr_3","551a"
1954,"O","03",1753,"CA","CDI","ct_9",20626,"P","tr_6","625d"
1960,"O","63",NA,"GZ","CDI","ct_9",13469,"C","tr_5","463e"
1961,"O","03",1592,"QB","CDD","ct_3",16971,"C","tr_5","526a"
1963,"O","03",910,"QB","CDI","ct_8",9248,"P","tr_3","526d"
1966,"O","03",375,"TZ","CDI","ct_7",3835,"C","tr_1","563c"
1978,"O","03",1965,"IZ","CDI","ct_9",18240,"C","tr_2","561b"
1983,"O","03",339,"GZ","CDI","ct_9",2438,"K","tr_1","641a"
