"UID","ACTIVITY_TYPE","AGE_2018","sex","OCCUPATION_42","Is_student","degree","household_type","Insee","target"
76,"type2-1",78,"Male","csp_7_1",FALSE,"DIP|1|1","ft1-1","01033",45.5142
80,"type2-1",65,"Male","csp_7_5",FALSE,"DIP|1|2","ft1-1","01033",40.0907
82,"type1-1",59,"Male","csp_6_2",FALSE,"DIP|1|3","ft1-1","01033",38.1394
83,"type1-2",27,"Female","csp_6_9",FALSE,"DIP|1|2","ft4-4","01033",34.5809
86,"type2-1",82,"Male","csp_7_4",FALSE,"DIP|1|5","ft4-4","01033",45.7994
89,"type1-1",54,"Female","csp_4_6",FALSE,"DIP|1|6","ft1-2","01033",36.1851
90,"type1-1",28,"Female","csp_4_3",FALSE,"DIP|1|7","ft4-1","01034",43.0321
94,"type1-1",58,"Male","csp_4_7",FALSE,"DIP|1|3","ft4-2","01034",28.9244
97,"type1-1",41,"Male","csp_6_2",FALSE,"DIP|1|3","ft4-1","01034",41.8685
98,"type1-1",23,"Male","csp_4_8",FALSE,"DIP|1|5","ft2-0","01034",36.7286
99,"type2-1",64,"Female","csp_7_7",FALSE,"DIP|1|6","ft4-4","01034",45.9412
102,"type2-1",67,"Female","csp_7_7",FALSE,"DIP|1|5","ft4-4","01034",49.7215
103,"type1-1",27,"Male","csp_4_6",TRUE,"DIP|1|6","ft1-1","01034",32.9767
106,"type1-2",39,"Female","csp_6_4",FALSE,"DIP|3","ft4-2","01034",37.2738
109,"type2-2",23,"Female","csp_8_4",TRUE,"DIP|1|6","ft2-0","01036",47.19
110,"type1-1",53,"Male","csp_3_7",FALSE,"DIP|1|3","ft4-1","01037",44.4976
111,"type1-1",54,"Female","csp_2_2",FALSE,"DIP|1|2","ft4-1","01038",53.143
114,"type2-2",15,"Male","csp_8_5",TRUE,"DIP|3","ft4-1","01043",43.5847
118,"type2-1",70,"Male","csp_7_8",FALSE,"DIP|1|1","ft4-4","01044",41.3369
122,"type1-1",52,"Female","csp_3_5",FALSE,"DIP|2","ft4-1","01049",50.778
125,"type1-1",40,"Male","csp_5_3",FALSE,"DIP|3","ft4-1","01049",37.0333
127,"type2-1",67,"Female","csp_7_7",FALSE,"DIP|3","ft1-2","01053",43.369
128,"type1-1",33,"Male","csp_3_3",FALSE,"DIP|1|6","ft4-1","01053",44.4835
129,"type1-1",29,"Male","csp_5_5",FALSE,"DIP|3","ft4-1","01053",42.8153
131,"type2-2",15,"Male","csp_8_4",TRUE,"DIP|1|2","ft3-1","01053",38.0709
132,"type2-1",66,"Female","csp_7_4",FALSE,"DIP|1|2","ft4-4","01053",40.0655
133,"type2-1",67,"Male","csp_7_2",FALSE,"DIP|1|4","ft4-4","01053",41.7687
137,"type2-4",58,"Female","csp_8_5",FALSE,"DIP|1|3","ft1-2","01053",48.4722
138,"type1-1",42,"Female","csp_5_4",FALSE,"DIP|1|6","ft4-1","01053",43.4462
141,"type1-1",26,"Female","csp_4_3",FALSE,"DIP|1|6","ft4-1","01053",34.4707
143,"type2-1",66,"Male","csp_7_1",FALSE,"DIP|1|4","ft4-4","01053",38.7751
145,"type1-1",29,"Female","csp_5_5",FALSE,"DIP|1|4","ft4-1","01053",47.0779
146,"type2-2",19,"Female","csp_8_4",TRUE,"DIP|1|4","ft2-0","01053",41.9639
147,"type1-1",59,"Male","csp_2_3",FALSE,"DIP|1|3","ft4-1","01053",41.6788
149,"type1-1",22,"Female","csp_4_3",FALSE,"DIP|1|8","ft4-1","01053",32.5985
150,"type2-1",83,"Female","csp_7_7",FALSE,"DIP|2","ft4-4","01053",45.4162
153,"type1-1",59,"Male","csp_2_1",FALSE,"DIP|1|3","ft4-1","01053",58.8859
160,"type1-2",22,"Male","csp_5_6",FALSE,"DIP|3","ft3-2","01053",29.9336
161,"type1-1",41,"Female","csp_6_8",FALSE,"DIP|1","ft4-4","01053",36.1755
163,"type1-1",38,"Female","csp_6_2",FALSE,"DIP|1|3","ft4-3","01053",33.1996
165,"type1-1",24,"Female","csp_2_2",FALSE,"DIP|1|5","ft4-3","01053",56.176
168,"type1-2",52,"Female","csp_4_3",FALSE,"DIP|1|6","ft3-2","01053",35.1679
170,"type1-1",57,"Male","csp_6_2",FALSE,"DIP|3","ft4-1","01053",35.2205
171,"type1-1",46,"Male","csp_3_3",FALSE,"DIP|1|8","ft1-1","01053",41.6122
176,"type1-1",42,"Male","csp_5_2",FALSE,"DIP|1|3","ft1-1","01053",43.9602
177,"type1-1",43,"Male","csp_5_5",FALSE,"DIP|1|3","ft4-2","01053",40.4426
178,"type1-2",57,"Female","csp_5_4",FALSE,"DIP|1|3","ft1-2","01053",38.8813
182,"type1-1",59,"Female","csp_5_4",FALSE,"DIP|3","ft1-2","01053",41.5294
183,"type1-1",53,"Male","csp_6_2",FALSE,"DIP|1|3","ft3-1","01053",39.075
185,"type1-1",34,"Female","csp_4_2",FALSE,"DIP|1|8","ft4-1","01053",36.4515
186,"type1-1",58,"Male","csp_1_1",FALSE,"DIP|1|4","ft4-1","01053",47.4229
190,"type2-5",45,"Female","csp_8_5",FALSE,"DIP|3","ft4-2","01053",40.3138
192,"type1-1",59,"Male","csp_6_2",FALSE,"DIP|1|3","ft1-1","01053",36.947
196,"type1-1",53,"Male","csp_6_7",FALSE,"DIP|1|3","ft4-2","01053",23.7885
198,"type1-1",28,"Female","csp_4_3",FALSE,"DIP|1|7","ft4-1","01053",39.4177
200,"type2-2",16,"Female","csp_8_4",TRUE,"DIP|1|2","ft4-1","01054",44.3157
204,"type1-2",32,"Male","csp_6_2",FALSE,"DIP|1|3","ft4-1","01061",39.1265
207,"type2-5",28,"Male","csp_8_5",FALSE,"DIP|1|4","ft4-1","01063",46.1294
214,"type1-2",50,"Male","csp_6_7",FALSE,"DIP|1|1","ft4-4","01068",34.7311
219,"type1-1",51,"Male","csp_4_6",FALSE,"DIP|1|3","ft4-1","01071",38.9996
223,"type2-1",75,"Female","csp_7_7",FALSE,"DIP|1|4","ft1-2","01072",47.1968
224,"type2-2",17,"Female","csp_8_4",FALSE,"DIP|1|2","ft4-2","01072",45.4981
225,"type2-1",85,"Male","csp_7_5",FALSE,"DIP|1|3","ft4-4","01073",44.5713
228,"type1-2",44,"Male","csp_6_8",FALSE,"DIP|1|3","ft3-1","01074",40.7596
229,"type2-2",17,"Male","csp_8_4",TRUE,"DIP|2","ft4-2","01074",38.4104
232,"type1-1",32,"Female","csp_5_6",FALSE,"DIP|1|7","ft1-2","01075",43.1512
235,"type2-1",65,"Male","csp_7_8",FALSE,"DIP|1|1","ft4-3","01078",42.0718
239,"type2-1",76,"Male","csp_7_7",FALSE,"DIP|2","ft4-4","01080",42.2576
243,"type2-1",70,"Male","csp_7_5",FALSE,"DIP|1|7","ft4-4","01083",44.648
246,"type2-1",60,"Female","csp_7_7",FALSE,"DIP|1|5","ft1-2","01088",45.5456
247,"type2-2",17,"Male","csp_8_4",TRUE,"DIP|1|6","ft4-1","01088",42.635
248,"type1-1",49,"Female","csp_5_2",FALSE,"DIP|1|6","ft4-1","01089",42.1201
249,"type2-1",77,"Female","csp_7_8",FALSE,"DIP|1","ft4-4","01089",45.1538
250,"type1-1",24,"Female","csp_5_2",FALSE,"DIP|1|5","ft4-1","01089",39.8497
251,"type2-1",59,"Male","csp_7_5",FALSE,"DIP|1|2","ft4-4","01090",38.4473
253,"type1-1",43,"Female","csp_4_2",FALSE,"DIP|1|7","ft4-1","01091",42.0985
254,"type2-2",16,"Female","csp_8_4",TRUE,"DIP|3","ft4-3","01091",47.1
255,"type1-1",47,"Female","csp_5_2",FALSE,"DIP|1|3","ft3-2","01091",37.6778
257,"type1-1",59,"Male","csp_4_3",FALSE,"DIP|1|8","ft4-1","01092",45.6363
259,"type2-1",71,"Male","csp_7_5",FALSE,"DIP|1|5","ft4-4","01092",44.5633
260,"type1-1",25,"Male","csp_4_8",FALSE,"DIP|1|8","ft1-1","01093",26.6836
261,"type2-1",66,"Male","csp_7_2",FALSE,"DIP|1|3","ft4-4","01093",43.1066
263,"type1-2",57,"Female","csp_5_5",FALSE,"DIP|1|2","ft3-2","01093",41.6476
268,"type1-1",31,"Male","csp_4_7",FALSE,"DIP|1|3","ft4-1","01095",35.8556
270,"type1-1",38,"Female","csp_4_6",FALSE,"DIP|1|6","ft4-1","01095",40.2333
271,"type1-1",45,"Male","csp_3_4",FALSE,"DIP|1|8","ft4-1","01096",45.4967
274,"type1-1",30,"Male","csp_6_3",FALSE,"DIP|1|3","ft4-1","01099",41.3004
276,"type1-1",45,"Female","csp_4_3",FALSE,"DIP|1|7","ft3-2","01102",50.0759
279,"type2-2",16,"Female","csp_8_4",TRUE,"DIP|1|2","ft4-1","01104",44.1519
280,"type2-5",18,"Female","csp_8_5",FALSE,"DIP|2","ft2-0","01105",43.0448
282,"type1-1",63,"Female","csp_4_3",FALSE,"DIP|1|7","ft1-2","01107",43.0818
283,"type1-1",52,"Female","csp_4_3",FALSE,"DIP|1|7","ft2-0","01108",49.4035
285,"type1-1",55,"Female","csp_5_5",FALSE,"DIP|1|3","ft4-1","01109",49.8176
286,"type2-1",70,"Female","csp_7_2",FALSE,"DIP|1|1","ft4-4","01110",46.2079
292,"type2-2",16,"Female","csp_8_4",TRUE,"DIP|1|2","ft4-1","01115",44.1379
299,"type2-1",63,"Male","csp_7_2",FALSE,"DIP|1|1","ft4-3","01127",42.6612
301,"type2-1",87,"Male","csp_7_8",FALSE,"DIP|3","ft4-4","01135",44.3018
304,"type2-4",56,"Female","csp_8_5",FALSE,"DIP|1|3","ft4-4","01136",53.6008
305,"type1-1",48,"Male","csp_2_2",FALSE,"DIP|1|6","ft3-1","01138",43.4356
306,"type1-1",18,"Male","csp_5_6",FALSE,"DIP|1|6","ft3-2","01138",38.5393
307,"type1-2",59,"Female","csp_3_4",FALSE,"DIP|1|6","ft4-2","01138",39.5825
309,"type2-1",77,"Male","csp_7_8",FALSE,"DIP|1|1","ft1-1","01138",45.941
310,"type1-1",54,"Female","csp_4_3",FALSE,"DIP|1|7","ft4-1","01138",39.2978
311,"type1-1",43,"Female","csp_4_2",FALSE,"DIP|1|7","ft4-1","01138",43.6644
315,"type2-2",21,"Female","csp_8_4",TRUE,"DIP|1|3","ft4-1","01138",48.4849
316,"type2-1",69,"Female","csp_7_8",FALSE,"DIP|1|1","ft1-2","01140",44.692
318,"type2-5",25,"Male","csp_8_5",FALSE,"DIP|1|3","ft1-1","01142",44.9412
320,"type1-1",26,"Female","csp_3_8",FALSE,"DIP|1|7","ft4-1","01142",35.4849
321,"type2-2",17,"Female","csp_8_4",TRUE,"DIP|2","ft3-2","01142",43.257
324,"type1-2",41,"Female","csp_5_4",FALSE,"DIP|1|3","ft3-2","01142",43.1161
325,"type2-2",15,"Female","csp_8_4",TRUE,"DIP|2","ft3-2","01142",43.0793
328,"type2-1",67,"Male","csp_7_2",FALSE,"DIP|2","ft1-1","01143",45.6029
329,"type2-1",77,"Female","csp_7_7",FALSE,"DIP|1|3","ft1-2","01143",45.0835
330,"type1-1",34,"Female","csp_5_2",FALSE,"DIP|1|6","ft4-1","01143",44.5325
333,"type1-1",25,"Male","csp_6_7",FALSE,"DIP|1|3","ft3-2","01143",30.3809
335,"type1-1",37,"Male","csp_4_8",FALSE,"DIP|1|6","ft4-1","01143",35.3905
337,"type2-1",91,"Male","csp_7_5",FALSE,"DIP|1|7","ft4-4","01143",46.1782
338,"type2-1",98,"Female","csp_7_1",FALSE,"DIP|1","ft1-2","01143",42.9421
341,"type1-1",53,"Male","csp_6_7",FALSE,"DIP|1|6","ft1-1","01144",40.2968
343,"type2-1",71,"Male","csp_7_8",FALSE,"DIP|2","ft4-4","01147",42.9075
344,"type2-1",72,"Male","csp_7_4",FALSE,"DIP|1|8","ft4-4","01148",41.4235
346,"type2-5",61,"Female","csp_8_5",FALSE,"DIP|1|3","ft4-4","01148",45.2225
349,"type1-1",30,"Male","csp_4_7",FALSE,"DIP|1|5","ft4-2","01149",32.0018
350,"type2-1",76,"Female","csp_8_6",FALSE,"DIP|1|4","ft1-2","01149",49.5291
352,"type2-1",70,"Female","csp_7_7",FALSE,"DIP|1|3","ft4-4","01151",44.5738
353,"type1-1",32,"Male","csp_1_2",FALSE,"DIP|1|6","ft4-1","01152",36.0671
356,"type2-2",16,"Female","csp_8_4",TRUE,"DIP|1|2","ft4-1","01153",44.225
360,"type2-1",80,"Male","csp_7_1",FALSE,"DIP|1|1","ft4-4","01157",39.9996
361,"type1-1",38,"Male","csp_6_8",FALSE,"DIP|1|7","ft4-2","01158",41.1805
363,"type2-4",77,"Female","csp_8_6",FALSE,"DIP|1|1","ft1-2","01159",47.6989
364,"type2-5",61,"Female","csp_8_6",FALSE,"DIP|3","ft4-2","01159",41.1894
367,"type2-1",58,"Male","csp_7_2",FALSE,"DIP|1|3","ft4-3","01160",42.9263
370,"type2-2",15,"Male","csp_8_5",TRUE,"DIP|3","ft4-1","01160",42.9686
372,"type2-1",75,"Female","csp_7_5",FALSE,"DIP|1|5","ft1-2","01160",45.88
375,"type1-2",42,"Female","csp_4_6",FALSE,"DIP|1|3","ft4-2","01160",40.6428
381,"type2-4",28,"Female","csp_8_5",FALSE,"DIP|1|8","ft4-2","01163",46.0656
383,"type2-1",74,"Male","csp_7_5",FALSE,"DIP|1|3","ft1-1","01163",44.2431
384,"type1-1",38,"Female","csp_4_6",FALSE,"DIP|1|6","ft4-1","01165",42.0178
386,"type2-1",91,"Female","csp_7_1",FALSE,"DIP|1|1","ft1-2","01166",43.2281
388,"type1-1",22,"Female","csp_5_2",FALSE,"DIP|1|4","ft1-2","01167",35.8962
389,"type1-1",27,"Female","csp_5_3",FALSE,"DIP|1|5","ft4-3","01170",34.0507
391,"type2-1",90,"Female","csp_7_2",FALSE,"DIP|1|1","ft4-1","01173",53.0446
392,"type2-1",64,"Female","csp_7_7",FALSE,"DIP|3","ft4-4","01173",48.1531
393,"type2-4",61,"Female","csp_8_5",FALSE,"DIP|1|3","ft4-4","01173",54.5782
398,"type1-1",59,"Male","csp_3_8",FALSE,"DIP|1|8","ft1-1","01173",37.2444
400,"type2-1",70,"Male","csp_7_5",FALSE,"DIP|1|2","ft4-4","01173",39.4275
401,"type2-2",16,"Female","csp_8_4",TRUE,"DIP|1|2","ft4-1","01173",46.1209
402,"type1-1",24,"Female","csp_5_4",FALSE,"DIP|1|5","ft4-1","01173",52.0199
403,"type2-1",62,"Male","csp_7_8",FALSE,"DIP|1|3","ft4-4","01173",45.1595
406,"type1-1",68,"Male","csp_3_7",FALSE,"DIP|1|4","ft4-1","01173",50.3608
407,"type1-1",57,"Female","csp_4_3",FALSE,"DIP|1|6","ft2-0","01173",33.2303
408,"type2-1",71,"Female","csp_7_8",FALSE,"DIP|1|1","ft1-2","01173",47.131
411,"type2-2",16,"Female","csp_8_4",TRUE,"DIP|1|2","ft4-1","01173",46.2114
412,"type1-2",43,"Female","csp_4_6",FALSE,"DIP|1|4","ft4-2","01175",39.0836
414,"type1-1",42,"Female","csp_5_6",FALSE,"DIP|1|5","ft4-1","01179",42.3796
415,"type2-4",47,"Female","csp_8_5",FALSE,"DIP|1|7","ft4-2","01179",52.217
416,"type1-1",53,"Female","csp_1_1",FALSE,"DIP|1|3","ft3-2","01180",51.194
418,"type2-2",24,"Female","csp_8_4",TRUE,"DIP|1|8","ft4-2","01181",43.0858
419,"type1-1",51,"Male","csp_2_1",FALSE,"DIP|1|6","ft4-1","01181",58.5996
420,"type2-1",73,"Male","csp_7_5",FALSE,"DIP|1|6","ft4-4","01183",42.5275
421,"type1-2",59,"Female","csp_5_4",FALSE,"DIP|1|7","ft4-2","01184",45.9135
423,"type2-1",62,"Male","csp_7_8",FALSE,"DIP|1|3","ft4-3","01184",43.2231
424,"type1-1",49,"Male","csp_6_7",FALSE,"DIP|1|3","ft4-1","01185",34.1391
426,"type1-2",60,"Female","csp_5_6",FALSE,"DIP|1|1","ft4-4","01185",41.5575
428,"type2-2",16,"Female","csp_8_5",TRUE,"DIP|3","ft4-4","01188",46.083
431,"type1-1",52,"Female","csp_5_2",FALSE,"DIP|1|6","ft4-1","01190",41.7497
434,"type1-1",55,"Male","csp_1_3",FALSE,"DIP|1|3","ft4-1","01192",37.2251
435,"type1-1",25,"Female","csp_4_3",FALSE,"DIP|1|7","ft1-2","01192",32.0287
436,"type2-2",18,"Female","csp_8_4",TRUE,"DIP|1|2","ft4-1","01192",43.9328
441,"type1-2",33,"Male","csp_4_6",FALSE,"DIP|1|8","ft4-3","01194",31.5554
443,"type2-2",15,"Male","csp_8_5",TRUE,"DIP|3","ft3-2","01194",36.9947
444,"type2-4",72,"Female","csp_8_6",FALSE,"DIP|1|1","ft4-4","01194",50.5779
445,"type1-2",35,"Male","csp_8_1",FALSE,"DIP|2","ft4-1","01194",45.7895
446,"type1-1",60,"Female","csp_5_6",FALSE,"DIP|1|3","ft4-1","01194",43.7181
447,"type2-1",71,"Female","csp_7_7",FALSE,"DIP|1|2","ft4-4","01195",42.3567
448,"type1-1",39,"Male","csp_6_3",FALSE,"DIP|1|3","ft4-1","01195",37.3539
450,"type2-2",18,"Female","csp_8_4",TRUE,"DIP|1|4","ft4-1","01197",47.3932
451,"type1-1",58,"Male","csp_6_8",FALSE,"DIP|3","ft1-1","01199",37.4537
454,"type1-1",50,"Female","csp_6_3",FALSE,"DIP|1|3","ft4-1","01202",41.9742
455,"type2-2",19,"Female","csp_8_4",TRUE,"DIP|1|2","ft3-2","01202",39.8655
456,"type2-2",21,"Male","csp_8_4",TRUE,"DIP|1|2","ft3-2","01202",36.3367
458,"type2-1",65,"Female","csp_7_1",FALSE,"DIP|1|4","ft4-4","01202",44.0428
459,"type2-1",87,"Female","csp_7_7",FALSE,"DIP|1|1","ft1-2","01202",45.832
460,"type2-1",71,"Male","csp_7_5",FALSE,"DIP|1|5","ft4-4","01202",44.6509
461,"type1-1",49,"Male","csp_4_7",FALSE,"DIP|1|3","ft4-1","01202",38.9657
462,"type1-1",48,"Female","csp_4_6",FALSE,"DIP|1|3","ft4-1","01202",43.5815
465,"type1-1",37,"Female","csp_4_6",FALSE,"DIP|1|7","ft4-1","01202",44.1885
466,"type1-2",21,"Male","csp_6_8",FALSE,"DIP|3","ft4-1","01202",35.0051
468,"type1-1",39,"Male","csp_5_2",FALSE,"DIP|1|4","ft1-1","01202",38.9768
471,"type2-2",18,"Female","csp_8_4",TRUE,"DIP|1|2","ft4-1","01202",44.0778
473,"type1-1",49,"Female","csp_5_4",FALSE,"DIP|1|4","ft4-1","01202",50.4787
474,"type2-1",67,"Male","csp_7_8",FALSE,"DIP|1|6","ft4-4","01202",42.5305
476,"type1-1",59,"Male","csp_6_2",FALSE,"DIP|1|3","ft1-1","01203",32.0116
477,"type1-1",44,"Male","csp_1_1",FALSE,"DIP|1|6","ft4-1","01203",50.7255
478,"type1-1",39,"Male","csp_3_1",FALSE,"DIP|1|8","ft4-1","01203",44.569
479,"type2-1",95,"Female","csp_7_7",FALSE,"DIP|1|1","ft1-2","01203",45.5308
485,"type2-2",17,"Female","csp_8_4",TRUE,"DIP|1|4","ft2-0","01209",44.0097
488,"type2-1",78,"Female","csp_7_8",FALSE,"DIP|1|1","ft1-2","01213",45.0681
491,"type1-1",30,"Male","csp_6_4",FALSE,"DIP|1|4","ft4-1","01216",31.0793
492,"type2-1",80,"Female","csp_7_7",FALSE,"DIP|1|1","ft1-2","01216",45.8422
495,"type2-2",15,"Male","csp_8_5",TRUE,"DIP|3","ft4-1","01224",43.5927
496,"type2-1",70,"Female","csp_7_5",FALSE,"DIP|1|7","ft4-4","01224",47.9056
497,"type2-2",15,"Male","csp_8_5",TRUE,"DIP|3","ft4-1","01227",43.6183
498,"type2-1",79,"Male","csp_7_8",FALSE,"DIP|1|1","ft4-4","01227",41.7526
499,"type2-1",74,"Female","csp_7_5",FALSE,"DIP|1|8","ft1-2","01228",44.9518
503,"type1-1",27,"Female","csp_5_5",FALSE,"DIP|1|6","ft4-1","01231",44.8517
505,"type1-1",29,"Female","csp_4_6",FALSE,"DIP|1|6","ft4-1","01231",37.4894
506,"type2-2",15,"Male","csp_8_4",TRUE,"DIP|1|2","ft3-1","01231",39.9308
512,"type2-1",80,"Female","csp_7_5",FALSE,"DIP|1|2","ft4-4","01232",42.2327
514,"type1-1",24,"Female","csp_5_2",TRUE,"DIP|1|4","ft4-1","01235",37.3317
517,"type2-2",15,"Male","csp_8_4",TRUE,"DIP|1|2","ft4-1","01237",39.6903
518,"type1-1",35,"Female","csp_5_5",FALSE,"DIP|1|4","ft4-1","01237",47.0126
519,"type2-5",17,"Male","csp_8_5",TRUE,"DIP|3","ft4-2","01237",32.9727
521,"type1-1",31,"Female","csp_5_4",FALSE,"DIP|1|3","ft4-3","01238",42.5795
523,"type2-1",66,"Male","csp_7_1",FALSE,"DIP|1|3","ft4-4","01238",40.7424
526,"type1-2",57,"Female","csp_4_3",FALSE,"DIP|3","ft4-2","01244",37.3074
529,"type1-1",47,"Male","csp_4_7",FALSE,"DIP|1|5","ft4-1","01244",37.0927
532,"type1-2",45,"Female","csp_8_1",FALSE,"DIP|1|1","ft3-2","01244",48.4963
535,"type2-1",63,"Male","csp_7_5",FALSE,"DIP|1|3","ft4-3","01244",42.4359
541,"type2-2",28,"Male","csp_8_4",TRUE,"DIP|1|8","ft1-1","01246",39.1875
546,"type1-1",52,"Female","csp_5_4",FALSE,"DIP|1|4","ft2-0","01249",39.7368
548,"type1-1",36,"Male","csp_4_8",FALSE,"DIP|1|7","ft4-1","01249",40.1681
551,"type1-1",41,"Female","csp_5_6",FALSE,"DIP|2","ft1-2","01249",38.4495
554,"type1-2",20,"Male","csp_5_5",FALSE,"DIP|1|5","ft4-4","01249",38.4647
558,"type1-2",35,"Male","csp_5_5",FALSE,"DIP|1|7","ft1-1","01249",42.9641
559,"type2-5",61,"Male","csp_8_6",FALSE,"DIP|1|3","ft1-1","01249",42.6976
561,"type1-1",57,"Male","csp_3_7",FALSE,"DIP|1|7","ft4-1","01250",42.5826
565,"type1-1",49,"Female","csp_3_1",FALSE,"DIP|1|7","ft3-2","01250",55.974
569,"type1-1",27,"Male","csp_5_4",FALSE,"DIP|1|8","ft4-1","01254",40.1524
571,"type1-1",56,"Male","csp_3_4",FALSE,"DIP|1|3","ft1-1","01254",40.2931
572,"type1-1",60,"Male","csp_2_3",FALSE,"DIP|1|8","ft4-1","01254",45.0235
575,"type2-2",15,"Male","csp_8_5",TRUE,"DIP|3","ft4-1","01261",43.4432
576,"type1-1",59,"Female","csp_5_3",FALSE,"DIP|1|1","ft4-1","01261",47.602
577,"type1-1",54,"Female","csp_5_6",FALSE,"DIP|1|3","ft4-1","01262",44.8477
582,"type1-1",32,"Female","csp_3_4",FALSE,"DIP|1|8","ft4-1","01262",48.986
587,"type1-1",56,"Male","csp_6_2",FALSE,"DIP|1|4","ft4-1","01263",39.004
588,"type2-1",82,"Female","csp_7_5",FALSE,"DIP|1|3","ft4-4","01263",46.9458
589,"type2-1",86,"Male","csp_7_8",FALSE,"DIP|2","ft4-4","01263",44.281
590,"type2-1",93,"Female","csp_7_7",FALSE,"DIP|1|3","ft3-2","01263",47.1643
596,"type1-1",56,"Female","csp_5_4",FALSE,"DIP|1|6","ft4-1","01265",45.4213
597,"type2-1",70,"Female","csp_7_7",FALSE,"DIP|1|3","ft4-4","01266",44.5469
598,"type1-1",57,"Female","csp_5_6",FALSE,"DIP|3","ft4-3","01267",37.1579
600,"type2-1",86,"Male","csp_7_8",FALSE,"DIP|2","ft4-4","01269",45.6811
601,"type1-2",46,"Female","csp_4_6",FALSE,"DIP|1|3","ft4-2","01269",41.9576
603,"type1-1",57,"Female","csp_5_5",FALSE,"DIP|3","ft4-1","01269",49.1613
604,"type2-1",63,"Female","csp_7_7",FALSE,"DIP|1","ft4-4","01272",45.2807
605,"type2-1",80,"Female","csp_7_7",FALSE,"DIP|1|4","ft4-4","01272",45.6344
607,"type2-5",33,"Male","csp_8_5",FALSE,"DIP|3","ft4-2","01273",34.9222
608,"type2-1",78,"Female","csp_7_7",FALSE,"DIP|1|1","ft4-4","01274",46.836
609,"type1-1",35,"Male","csp_6_3",FALSE,"DIP|1|3","ft4-2","01275",31.8326
610,"type1-1",36,"Female","csp_6_8",FALSE,"DIP|1|3","ft4-1","01275",44.1554
611,"type2-2",15,"Male","csp_8_4",TRUE,"DIP|1|2","ft4-1","01275",39.6506
614,"type1-1",32,"Female","csp_5_4",FALSE,"DIP|1|6","ft1-2","01276",42.6279
617,"type2-1",84,"Female","csp_7_5",FALSE,"DIP|1|1","ft1-2","01281",45.8248
622,"type1-1",24,"Female","csp_4_3",FALSE,"DIP|1|5","ft3-2","01281",29.5948
624,"type1-1",23,"Male","csp_6_7",FALSE,"DIP|1|5","ft4-1","01283",35.9197
627,"type2-2",20,"Male","csp_8_4",TRUE,"DIP|1|4","ft2-0","01283",38.9632
